Date,Close,1 Month,3 Months,6 Months,12 Months
5/1/1955,37.91,-0.001318018,0.030804686,0.10182032,0.26138871
6/1/1955,41.029999,0.079088553,0.114801784,0.131340254,0.3397924
7/1/1955,43.52,0.05891712,0.136687655,0.172352998,0.34311191
8/1/1955,43.18,-0.007843177,0.130162496,0.160967182,0.369862827
9/1/1955,43.669998,0.011283897,0.06235784,0.177159624,0.301284511
10/1/1955,42.34,-0.030929056,-0.027488337,0.109199318,0.290046699
11/1/1955,45.509998,0.072199772,0.052554613,0.182717109,0.284537428
12/1/1955,45.48,-0.000659369,0.040611347,0.102969187,0.23430944
1/1/1956,43.82,-0.037182335,0.034358068,0.006869732,0.17922273
2/1/1956,45.34,0.034099311,-0.003742393,0.04881222,0.209779402
3/1/1956,48.48,0.066961697,0.063878673,0.10449002,0.281649644
4/1/1956,48.380001,-0.002064816,0.098996192,0.13335426,0.242553578
5/1/1956,45.200001,-0.067989417,-0.003092536,-0.006834929,0.175882179
6/1/1956,46.970001,0.038412012,-0.03164222,0.032236452,0.135205639
7/1/1956,49.389999,0.050238833,0.020661428,0.11965762,0.126527352
8/1/1956,47.509998,-0.038807781,0.049843064,0.046750528,0.095562748
9/1/1956,45.349998,-0.046530041,-0.035098989,-0.066741209,0.037748811
10/1/1956,45.580002,0.005058935,-0.080278887,-0.059617458,0.073736802
11/1/1956,45.080002,-0.011030334,-0.05250144,-0.002658375,-0.009493305
12/1/1956,46.669998,0.034662784,0.028691385,-0.006407604,0.025828848
1/1/1957,44.720001,-0.042680666,-0.019048216,-0.099327103,0.020330517
2/1/1957,43.259998,-0.033192477,-0.041210359,-0.093711799,-0.046961271
3/1/1957,44.110001,0.019458162,-0.05641498,-0.027723596,-0.094464805
4/1/1957,45.740002,0.036286696,0.022552381,0.003504165,-0.056113294
5/1/1957,47.43,0.036281708,0.092026566,0.050816206,0.048157831
6/1/1957,47.369999,-0.001265844,0.071302559,0.014887579,0.008479974
7/1/1957,47.91,0.011335155,0.046351019,0.0689034,-0.030423703
8/1/1957,45.220001,-0.057784762,-0.047715451,0.044311115,-0.049400684
9/1/1957,42.419998,-0.063919587,-0.110369194,-0.039066635,-0.06679023
10/1/1957,41.060001,-0.032585466,-0.154289815,-0.107938796,-0.104434632
11/1/1957,41.720001,0.015946218,-0.080558835,-0.128274286,-0.077458079
12/1/1957,39.990002,-0.042351181,-0.058990429,-0.169359623,-0.154472044
1/1/1958,41.700001,0.04187168,0.015466717,-0.138823098,-0.069919698
2/1/1958,40.84,-0.020839159,-0.021318661,-0.101877496,-0.057566381
3/1/1958,42.099998,0.0303857,0.05141822,-0.007572209,-0.046638844
4/1/1958,43.439999,0.031332959,0.0408795,0.056346217,-0.05159258
5/1/1958,44.09,0.014852347,0.076571006,0.055252345,-0.073021941
6/1/1958,45.240002,0.025748696,0.071934002,0.123352223,-0.0460074
7/1/1958,47.189999,0.042200289,0.082801332,0.123680832,-0.015142266
8/1/1958,47.75,0.011797082,0.079746068,0.156317074,0.054439578
9/1/1958,50.060001,0.047243239,0.101240611,0.173174613,0.165602404
10/1/1958,51.330002,0.02505311,0.084093431,0.166894763,0.22324098
11/1/1958,52.48,0.022156729,0.094453078,0.174199145,0.229451491
12/1/1958,55.209999,0.050711934,0.097921772,0.199162383,0.322514605
1/1/1959,55.450001,0.004337654,0.077206316,0.161299747,0.284980579
2/1/1959,55.41,-0.000721649,0.054327938,0.148781016,0.30509809
3/1/1959,55.439999,0.000541254,0.004157259,0.102079031,0.275253644
4/1/1959,57.59,0.038047605,0.03786721,0.115073526,0.281968289
5/1/1959,58.68,0.018750012,0.05733887,0.111666809,0.285865954
